,Country_Region,Province_State,Confirmed,Recovered,Active,Deaths,Date
44,United States,Sonoma,4,0,0,0,03-14-2020
45,United States,Sonoma,4,0,0,0,03-15-2020
46,United States,Sonoma,7,0,0,0,03-16-2020
47,United States,Sonoma,9,0,0,0,03-17-2020
48,United States,Sonoma,9,0,0,0,03-18-2020
49,United States,Sonoma,11,0,0,0,03-19-2020
50,United States,Sonoma,22,0,0,0,03-20-2020
51,United States,Sonoma,24,0,0,0,03-21-2020
52,United States,Sonoma,24,0,0,0,03-22-2020
53,United States,Sonoma,29,0,0,0,03-23-2020
54,United States,Sonoma,34,0,0,0,03-24-2020
55,United States,Sonoma,37,0,0,0,03-25-2020
56,United States,Sonoma,44,0,0,0,03-26-2020
